customerID,tenure,Contract,MonthlyCharges,TotalCharges,ChurnProbability,RiskLevel,RevenueAtRisk,Churn
5419-JPRRN,1,Month-to-month,101.45,101.45,0.7739264555308514,High,78.51483891360488,1
7216-EWTRS,1,Month-to-month,100.8,100.8,0.7734061447643694,High,77.95933939224844,1
0107-YHINA,1,Month-to-month,99.75,99.75,0.7725638555698983,High,77.06324459309735,1
1400-MMYXY,3,Month-to-month,105.9,334.65,0.7703745721015104,High,81.58266718554995,1
0295-PPHDO,1,Month-to-month,95.45,95.45,0.769091468952775,High,73.40978071154238,1
5178-LMXOP,1,Month-to-month,95.1,95.1,0.7688072064006373,High,73.1135653287006,1
4910-GMJOT,1,Month-to-month,94.6,94.6,0.7684006927116052,High,72.69070553051785,1
9300-AGZNL,1,Month-to-month,94.0,94.0,0.7679122175093859,High,72.18374844588227,1
8149-RSOUN,1,Month-to-month,93.85,93.85,0.7677899864448108,High,72.05709022784549,1
6496-SLWHQ,3,Month-to-month,105.0,294.45,0.7676481017681069,High,80.60305068565123,1
9497-QCMMS,1,Month-to-month,93.55,93.55,0.7675453896267265,High,71.80387119958026,1
6521-YYTYI,1,Month-to-month,93.3,93.3,0.7673414217810014,High,71.59295465216744,1
6023-YEBUP,3,Month-to-month,100.95,329.95,0.7663600093628458,High,77.36404294517928,1
3988-RQIXO,1,Month-to-month,91.3,91.3,0.7657051923607463,High,69.90888406253613,1
9725-SCPZG,1,Month-to-month,90.85,90.85,0.7653359421379241,High,69.5307703432304,1
2725-KXXWT,1,Month-to-month,90.75,90.75,0.7652538317575756,High,69.44678523199998,1
0754-UKWQP,2,Month-to-month,95.85,197.7,0.7651581812824152,High,73.3404116759195,1
8775-LHDJH,1,Month-to-month,90.6,90.6,0.7651306288460912,High,69.32083497345586,1
7274-RTAPZ,1,Month-to-month,90.55,90.55,0.7650895512520095,High,69.27885886586945,1
1941-HOSAM,1,Month-to-month,90.1,90.1,0.7647196289074205,High,68.90123856455858,0
7851-WZEKY,2,Month-to-month,95.15,196.9,0.7645775431166895,High,72.74955322755301,1
3027-ZTDHO,1,Month-to-month,89.9,89.9,0.7645550895761088,High,68.73350255289219,1
0970-ETWGE,1,Month-to-month,89.55,89.55,0.7642669541781866,High,68.4401057466566,1
4273-MBHYA,1,Month-to-month,89.35,89.35,0.76410219593092,High,68.2725312064277,0
3158-MOERK,2,Month-to-month,96.0,174.8,0.7640956845825726,High,73.35318571992697,1
1415-YFWLT,1,Month-to-month,89.3,89.3,0.7640609939335226,High,68.23064675826356,1
7577-SWIFR,1,Month-to-month,89.25,89.25,0.7640197869622438,High,68.18876598638026,0
1455-ESIQH,1,Month-to-month,89.1,89.1,0.763896136206878,High,68.06314573603282,1
3068-OMWZA,1,Month-to-month,88.8,88.8,0.7636487004251827,High,67.81200459775623,1
4424-TKOPW,2,Month-to-month,93.85,196.75,0.7635655240551786,High,71.66062443257852,1
3722-WPXTK,1,Month-to-month,88.35,88.35,0.7632772111474402,High,67.43554160487633,1
2720-WGKHP,2,Month-to-month,94.0,181.7,0.7629042141818457,High,71.7129961330935,1
7024-OHCCK,2,Month-to-month,93.85,170.85,0.7622262287123357,High,71.5349315646527,1
5150-ITWWB,3,Month-to-month,94.85,335.75,0.7619476285305252,High,72.27073256612032,0
8603-IJWDN,1,Month-to-month,86.6,86.6,0.7618287045773454,High,65.9743658163981,1
9546-CQJSU,2,Month-to-month,91.4,193.6,0.7615012697323934,High,69.60121605354077,1
4826-XTSOH,1,Month-to-month,86.05,86.05,0.7613722033932052,High,65.5160781019853,1
4844-JJWUY,1,Month-to-month,86.0,86.0,0.7613306735107531,High,65.47443792192477,1
5192-EBGOV,1,Month-to-month,85.7,85.7,0.761081390028833,High,65.224675125471,1
9057-SIHCH,3,Month-to-month,96.6,291.9,0.7610329941851777,High,73.51578723828815,1
2656-TABEH,4,Month-to-month,100.2,420.2,0.7608770596732265,High,76.2398813792573,1
5597-GLBUC,1,Month-to-month,85.45,85.45,0.7608735173799432,High,65.01664206011615,1
9944-HKVVB,3,Month-to-month,95.1,307.4,0.7606695869879262,High,72.33967772255178,1
1069-XAIEM,1,Month-to-month,85.05,85.05,0.7605406632607203,High,64.68398341032426,1
1628-BIZYP,1,Month-to-month,85.0,85.0,0.7604990341833944,High,64.64241790558852,0
9282-IZGQK,1,Month-to-month,85.0,85.0,0.7604990341833944,High,64.64241790558852,1
6230-BSUXY,1,Month-to-month,85.0,85.0,0.7604990341833944,High,64.64241790558852,1
4927-WWOOZ,2,Month-to-month,91.45,171.45,0.7603883936642148,High,69.53751860059245,0
2202-CUYXZ,1,Month-to-month,84.85,84.85,0.7603741172063523,High,64.51774384495899,1
4912-PIGUY,1,Month-to-month,84.6,84.6,0.7601658231065638,High,64.3100286348153,0
3049-SOLAY,3,Month-to-month,95.2,292.85,0.7599897107699402,High,72.3510204652983,1
2034-GDRCN,2,Month-to-month,90.4,168.2,0.7593978685717925,High,68.64956731889005,1
